Product_Code,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30
P1,11,12,10,8,13,12,14,21,6,14,11,14,16,9,9,9,14,9,3,12,5,11,7,12,5,9,7,10,5,11,7
P2,7,6,3,2,7,1,6,3,3,3,2,2,6,2,0,6,2,7,7,9,4,7,2,4,5,3,5,8,5,5,3
P3,7,11,8,9,10,8,7,13,12,6,14,9,4,7,12,8,7,11,10,7,7,13,11,8,10,8,14,5,3,13,11
P4,12,8,13,5,9,6,9,13,13,11,8,4,5,4,15,7,11,9,15,4,6,7,11,7,9,6,10,10,2,6,7
P5,8,5,13,11,6,7,9,14,9,9,11,18,8,4,13,8,10,15,6,13,11,6,10,9,8,12,8,9,13,3,5
P6,3,3,2,7,6,3,8,6,6,3,1,1,5,4,3,5,3,5,10,8,4,9,7,5,4,2,1,3,2,4,0
P7,4,8,3,7,8,7,2,3,10,3,5,2,3,4,5,3,7,10,0,3,7,5,1,5,7,5,2,4,3,1,3
P8,8,6,10,9,6,8,7,5,10,10,8,8,15,9,5,11,10,7,13,9,12,11,5,11,11,12,3,10,12,9,9
P9,14,9,10,7,11,15,12,7,13,12,15,15,16,10,9,9,13,8,10,18,18,17,10,16,14,10,4,7,7,10,3
P10,22,19,19,29,20,16,26,20,24,20,31,22,23,19,15,19,22,23,20,33,16,23,23,16,25,27,12,15,15,11,14
P11,15,7,15,14,17,7,10,16,11,8,8,10,10,12,10,16,13,10,13,13,18,12,15,9,8,5,11,8,9,10,7
P12,3,4,1,6,4,3,7,3,5,3,5,6,5,0,4,0,7,1,5,5,3,7,4,4,5,6,4,0,4,4,2
P13,12,10,9,6,10,11,18,8,10,17,11,12,11,13,10,8,9,10,9,8,7,5,12,10,10,5,12,7,8,0,11
P14,14,12,9,11,13,12,8,12,13,10,10,17,14,14,25,18,13,22,12,21,15,17,11,15,12,17,11,5,7,7,8
P15,19,45,47,42,29,44,43,36,25,52,39,42,43,42,43,51,40,44,30,39,39,36,32,39,30,22,25,34,28,29,24
P16,30,27,27,43,29,32,49,41,49,38,42,30,43,43,54,48,34,36,44,43,44,28,35,29,43,30,27,30,29,35,42
P17,49,40,40,28,40,47,44,45,39,33,39,37,33,52,29,45,34,43,40,50,29,36,32,28,35,30,22,23,20,17,24
P18,40,38,39,38,39,33,28,44,36,36,23,38,38,41,43,27,38,31,43,32,35,38,48,38,30,21,20,22,24,23,31
P19,26,31,45,36,31,28,28,34,42,40,43,35,30,33,40,45,48,35,30,29,39,41,30,34,28,22,31,29,30,34,26
P20,13,17,11,10,7,11,17,8,12,10,8,9,8,10,10,13,11,10,7,8,8,8,9,7,10,8,8,9,8,9,7
P21,12,5,9,8,9,6,10,13,6,12,13,10,15,12,8,12,12,9,12,8,9,13,10,7,9,4,11,3,3,3,7
P22,8,14,8,9,17,6,17,15,11,13,9,18,5,8,12,6,17,9,10,6,9,17,10,9,9,1,4,4,10,9,9
P23,3,5,4,3,3,2,5,4,5,5,7,7,5,4,6,6,6,8,4,4,3,3,3,4,9,4,6,5,4,3,2
P24,36,42,27,33,40,48,38,39,41,39,44,35,53,52,43,45,41,42,43,26,35,29,48,24,33,34,23,24,26,28,32
P25,26,28,33,32,20,33,42,29,24,32,45,41,35,39,32,36,31,32,48,26,34,30,36,31,34,19,19,27,28,32,21
P26,14,14,9,8,9,7,9,11,10,14,16,7,15,8,18,8,11,12,9,15,16,20,7,10,12,9,9,9,5,8,10
P27,44,34,33,39,34,30,47,27,45,39,47,39,35,47,29,45,52,38,51,38,41,21,33,33,25,27,32,42,26,33,26
P28,34,32,36,41,31,31,32,29,43,33,37,44,37,27,36,38,24,36,30,32,29,40,41,36,33,22,28,23,35,36,33
P29,13,10,12,17,17,11,15,16,10,12,18,6,14,12,11,10,19,25,9,17,12,15,16,11,14,15,4,13,12,10,7
P30,46,36,45,34,35,36,43,28,26,33,46,42,41,42,37,38,40,35,29,31,43,29,39,35,35,20,16,29,38,28,24
P31,7,17,6,7,9,7,11,10,13,9,4,15,10,7,10,9,11,8,14,9,10,3,3,1,8,10,5,6,14,9,12
P32,15,13,10,4,13,7,10,12,11,15,5,15,8,10,7,16,11,10,7,11,6,8,5,3,12,10,9,9,6,7,13
P33,15,12,11,17,10,18,11,16,8,6,11,10,18,10,14,13,13,12,14,10,10,11,14,11,10,17,8,13,6,16,9
P34,47,42,24,55,42,23,41,51,45,29,51,40,28,48,35,40,38,36,53,38,39,41,31,43,33,30,27,37,34,37,38
P35,34,37,26,27,49,48,36,34,28,41,41,35,29,42,41,31,38,27,36,36,39,42,35,38,35,24,32,32,41,33,32
P36,41,32,39,45,38,40,39,39,27,48,47,35,61,34,37,47,30,46,41,45,38,39,39,34,37,24,35,22,39,39,32
P37,36,39,43,42,38,37,31,26,36,29,31,36,46,25,51,44,42,52,40,56,46,45,38,38,40,22,30,27,29,32,35
P38,37,36,43,52,61,50,35,52,49,46,53,57,35,33,42,41,31,43,36,42,27,36,30,39,41,21,31,21,30,20,34
P39,31,21,28,39,53,39,25,31,43,40,41,43,47,35,36,34,35,40,54,38,34,34,30,44,33,28,22,24,31,21,41
P40,41,27,27,51,37,38,48,40,39,40,47,31,48,43,37,45,47,39,50,38,38,44,33,27,39,23,22,29,24,36,33
P41,35,27,26,43,44,38,40,38,47,48,32,37,35,36,50,41,50,50,37,41,37,49,27,44,26,28,23,22,26,22,27
P42,42,27,40,27,32,42,31,37,22,38,33,39,37,45,48,31,45,35,31,48,31,41,29,40,36,25,26,22,26,37,28
P43,28,43,40,43,54,33,39,30,38,38,56,34,37,32,44,47,45,51,33,48,61,40,44,41,40,32,26,29,36,28,22
P44,34,27,28,36,50,28,31,33,34,27,29,33,30,45,35,42,45,37,39,32,40,38,41,40,31,24,31,26,27,23,33
P45,40,29,39,34,37,23,33,26,34,41,33,29,54,37,37,27,33,39,32,40,46,32,38,26,28,24,27,29,16,36,29
P46,27,46,31,38,40,40,53,43,45,32,37,32,38,39,28,43,50,39,44,33,35,33,38,26,28,24,21,26,24,33,28
P47,40,42,27,28,33,29,33,58,37,34,37,19,41,37,47,36,30,40,46,26,31,39,51,43,41,20,24,20,39,30,34
P48,29,51,40,33,43,28,29,41,35,45,43,41,30,32,51,50,45,34,37,40,34,35,39,52,27,19,43,31,19,28,30
P49,37,28,42,38,37,35,42,36,30,48,28,39,32,44,36,41,35,39,39,48,32,39,35,39,31,35,31,26,29,36,37
P50,12,3,15,8,12,7,9,10,12,8,13,11,9,9,11,7,12,13,11,10,5,7,6,6,8,5,7,6,12,4,9
P51,19,14,17,27,14,18,18,18,14,18,19,17,28,25,21,16,24,26,14,18,20,25,20,21,17,7,21,19,20,14,20
P52,40,44,37,48,28,40,35,32,41,36,44,39,31,32,43,39,46,36,31,43,34,31,33,34,32,41,26,19,25,28,22
P53,2,5,6,8,3,1,9,6,2,5,5,4,2,3,7,7,9,3,10,2,7,6,6,4,5,5,4,1,3,5,5
P54,41,42,37,40,29,52,43,40,41,38,33,52,37,43,47,33,34,45,25,32,36,44,45,30,42,23,27,38,32,40,29
P55,34,30,42,42,29,24,36,42,42,29,42,47,26,30,32,37,40,30,37,33,40,36,22,31,39,24,26,24,27,24,25
P56,31,28,41,36,45,25,42,47,36,42,42,37,45,38,40,31,34,28,27,35,40,41,32,31,35,28,19,25,28,21,32
P57,38,26,37,43,51,39,42,27,36,45,27,39,37,41,28,45,39,34,40,45,39,35,35,45,32,17,23,28,38,26,36
P58,32,34,38,41,24,29,34,47,41,42,28,35,26,32,36,41,35,30,47,20,28,48,43,43,42,27,21,24,25,40,38
P59,5,13,10,11,10,11,10,8,9,13,11,12,8,7,8,7,11,10,7,6,14,12,11,11,14,4,7,9,7,10,5
P60,37,41,46,27,51,28,38,40,37,34,34,26,39,33,32,37,45,34,47,40,41,41,46,24,41,18,24,34,32,40,23
P61,25,30,32,47,45,50,40,35,33,33,35,43,41,32,38,40,30,36,27,26,39,38,34,33,24,22,18,36,28,33,27
P62,12,27,18,22,19,19,25,19,8,15,15,18,15,22,18,16,19,21,18,14,20,15,15,10,22,13,11,20,20,12,10
P63,37,39,54,44,30,36,48,39,40,34,50,40,40,41,55,34,42,46,43,33,30,44,39,30,29,24,31,18,32,20,34
P64,34,37,29,42,31,36,36,43,29,30,48,34,38,33,28,45,41,33,52,38,29,33,43,34,33,23,25,28,25,23,32
P65,14,10,9,10,11,9,9,7,12,5,16,17,7,7,12,5,15,15,13,11,8,10,9,13,16,6,6,10,9,9,12
P66,35,41,45,34,50,40,41,39,36,45,48,27,35,34,44,27,48,48,34,31,49,35,36,42,30,31,26,47,44,34,19
P67,36,30,38,44,47,37,38,31,47,37,42,34,33,42,33,42,30,34,37,42,36,30,45,28,29,28,22,26,28,33,35
P68,14,11,9,9,5,19,3,8,10,19,7,8,6,16,10,10,12,5,13,7,5,11,7,7,11,14,2,11,8,7,6
P69,26,43,46,39,41,31,41,35,44,26,48,46,35,38,39,36,38,35,31,41,43,36,44,27,26,20,35,32,19,39,38
P70,31,39,50,31,37,30,37,44,35,33,26,32,41,35,35,47,43,45,41,40,29,22,36,25,32,18,22,21,27,30,35
P71,7,11,10,8,10,14,12,10,11,10,12,12,5,15,12,12,8,10,10,9,6,10,12,11,6,10,8,10,11,10,8
P72,26,34,39,41,39,38,52,40,28,34,43,32,36,45,43,39,48,36,55,44,45,50,37,41,27,25,21,34,33,33,40
P73,35,30,36,46,34,29,34,41,56,33,44,36,36,44,37,39,22,29,43,30,33,42,38,48,36,13,29,23,26,28,26
P74,8,9,6,15,4,12,4,9,10,11,10,15,15,17,10,11,9,6,19,11,9,8,10,11,6,8,8,7,11,8,4
P75,34,45,37,27,40,22,28,44,38,45,52,41,45,44,45,28,33,35,37,56,32,41,38,44,31,31,44,33,31,29,33
P76,27,34,43,45,28,35,26,34,38,45,26,49,51,41,34,38,41,38,40,34,47,32,32,38,32,18,20,32,26,35,29
P77,7,7,6,2,7,5,7,4,1,6,8,3,2,3,7,2,4,7,4,4,0,7,7,5,3,4,3,3,4,4,4
P78,39,40,31,39,44,34,31,32,47,36,44,34,31,39,32,44,44,43,40,43,37,34,43,27,35,25,38,27,26,21,26
P79,37,34,45,41,37,23,41,40,41,38,37,37,42,30,43,35,30,53,37,40,38,42,34,29,24,30,22,26,24,26,25
P80,38,29,32,40,29,36,47,24,36,31,39,35,40,37,51,46,21,36,47,30,35,34,31,29,42,28,17,17,32,29,33
P81,14,6,13,5,8,13,7,5,7,4,9,11,16,11,9,16,6,5,5,6,12,14,10,16,16,9,5,5,11,7,8
P82,10,12,17,13,14,8,7,10,4,7,8,16,6,8,5,6,6,16,8,6,5,5,10,7,12,5,7,6,9,6,9
P83,46,40,34,38,36,45,48,37,63,37,30,37,44,31,41,37,46,28,34,43,37,39,36,25,38,21,30,20,33,24,25
P84,29,26,31,39,28,44,32,42,41,42,46,35,42,35,56,34,62,29,40,39,24,33,36,32,32,26,30,30,34,33,26
P85,39,34,28,38,33,37,52,28,31,27,35,41,43,36,28,40,29,39,33,34,42,34,38,29,28,16,26,25,21,23,26
P86,37,33,33,32,36,26,45,37,43,36,36,46,32,46,29,39,30,28,38,36,40,32,27,30,32,19,23,30,23,20,25
P87,30,38,35,39,37,42,40,35,40,41,34,39,37,40,28,38,31,36,34,30,32,32,34,27,18,26,20,27,33,27,24
P88,41,28,32,30,33,41,42,35,45,38,28,43,38,37,32,35,34,26,30,28,38,41,41,32,29,25,18,31,30,26,27
P89,24,26,44,31,37,37,38,30,35,49,49,41,45,41,31,27,32,40,41,34,44,27,46,29,24,27,18,36,33,29,26
P90,42,34,40,39,47,31,43,40,47,35,38,37,44,27,30,47,39,34,35,30,27,34,29,28,27,28,27,30,27,25,35
P91,10,11,7,13,5,9,16,10,9,6,6,12,8,8,6,11,9,14,7,13,9,8,12,11,11,12,5,7,5,8,9
P92,26,36,56,40,31,44,37,40,38,43,41,38,36,39,45,59,48,42,54,35,53,58,28,27,37,27,27,35,20,33,24
P93,11,9,10,13,5,11,1,11,12,9,10,13,12,6,7,7,12,11,12,13,10,7,8,9,2,7,7,12,7,7,9
P94,14,9,10,9,5,11,6,6,6,9,9,5,8,9,11,8,11,16,10,5,9,12,12,11,12,10,9,9,4,4,8
P95,12,15,15,13,17,12,9,9,11,12,13,16,6,12,15,21,8,15,12,15,18,14,18,18,21,15,8,12,14,10,10
P96,31,35,36,44,36,38,36,39,47,39,24,29,46,38,34,26,36,41,57,42,46,31,37,40,27,32,23,28,30,28,31
P97,29,37,36,40,33,29,27,49,38,43,35,37,46,44,30,41,28,39,32,40,31,28,32,34,37,26,24,19,35,19,22
P98,4,2,4,4,7,2,3,4,4,4,5,5,6,9,6,2,4,4,3,6,6,7,3,6,6,4,1,0,3,3,3
P99,16,11,9,21,9,5,12,15,11,9,7,8,9,8,8,12,10,10,10,11,9,9,12,13,8,17,6,7,6,9,9
P100,13,6,7,9,9,15,13,6,7,10,9,12,11,10,12,14,10,19,11,10,8,17,11,15,29,13,5,8,10,6,8
P101,26,51,45,47,40,36,38,28,38,45,52,37,49,36,37,40,52,37,43,34,44,44,37,41,34,27,27,25,30,19,27
P102,34,41,22,32,36,27,44,33,22,38,33,33,39,31,28,37,44,40,40,43,36,28,42,29,43,20,25,27,26,29,24
P103,7,5,7,7,14,9,10,6,12,13,8,9,6,9,9,8,13,10,8,8,10,3,13,7,9,6,5,4,5,3,11
P104,4,4,5,5,3,7,5,6,5,7,10,5,8,7,3,2,4,6,3,3,1,3,5,5,1,2,3,1,5,5,2
P105,2,3,3,2,5,4,5,7,5,3,8,3,6,2,2,3,1,7,6,5,6,7,3,4,5,3,3,2,8,4,2
P106,11,10,11,16,16,7,11,6,16,15,12,8,10,12,13,16,4,11,14,13,10,14,12,11,15,7,11,8,9,11,12
P107,19,19,15,24,16,23,27,20,19,17,18,21,18,19,19,18,18,16,23,19,23,15,15,16,23,19,23,13,13,18,15
P108,0,2,2,0,3,1,2,1,6,3,0,3,4,3,5,1,5,0,1,2,2,3,4,9,2,5,3,2,0,3,3
P109,9,8,8,5,13,9,13,7,9,14,3,9,10,10,14,17,13,4,11,9,7,6,5,7,4,11,11,15,13,5,7
P110,9,12,12,6,15,10,9,10,10,9,13,11,8,3,5,10,13,14,9,8,7,8,5,12,11,9,9,12,8,7,3
P111,5,4,7,4,4,5,4,4,2,6,3,2,3,14,3,2,3,3,4,8,3,1,3,4,4,5,2,4,6,7,2
P112,31,36,32,51,39,33,35,46,57,34,39,30,32,27,41,27,50,46,35,31,43,43,30,27,41,26,32,32,34,41,38
P113,22,26,31,37,32,25,28,33,40,27,38,40,31,32,29,34,34,29,31,43,31,37,27,33,33,23,19,21,19,25,33
P114,7,6,7,8,10,12,7,10,11,14,10,16,15,13,9,16,5,15,9,9,10,5,11,7,5,6,12,11,14,6,8
P115,9,9,12,13,14,13,10,6,10,11,16,10,11,17,14,17,11,10,5,13,16,18,11,6,12,11,14,18,10,14,5
P116,13,7,8,8,7,12,9,11,11,9,7,13,8,10,12,16,9,14,12,11,12,6,8,11,8,8,8,10,6,8,10
P117,6,2,3,3,3,2,5,2,4,4,3,10,3,5,6,7,5,7,7,9,5,5,3,3,5,2,4,2,6,4,8
P118,16,13,10,10,16,15,9,5,13,13,8,11,8,11,10,8,14,15,11,8,12,5,22,11,13,13,5,6,11,15,7
P119,30,40,46,33,28,41,34,33,44,49,37,29,42,31,45,43,37,43,49,29,27,35,33,30,29,28,30,23,23,23,48
P120,37,35,27,30,31,42,30,37,37,39,32,31,38,38,35,47,52,42,32,34,26,30,42,31,29,24,36,16,27,36,35
P121,7,10,8,10,11,10,9,9,11,7,14,12,10,11,9,14,7,8,11,6,8,11,7,9,13,11,11,4,8,6,6
P122,7,10,7,8,11,2,9,7,12,17,8,8,6,19,5,17,6,12,11,7,4,10,12,10,7,10,4,5,14,11,6
P123,5,5,3,6,4,6,4,7,4,2,4,4,3,3,5,2,5,1,0,5,4,6,5,5,0,7,5,0,5,1,3
P124,4,6,0,7,4,3,5,4,2,7,11,6,8,4,4,10,5,3,4,3,4,3,4,6,8,6,4,0,1,2,7
P125,6,9,5,10,6,9,10,8,15,14,15,10,11,8,9,6,9,11,3,9,11,13,9,11,6,13,5,6,7,8,10
P126,3,8,8,3,5,3,6,3,5,6,6,2,5,3,9,2,4,6,4,2,2,2,6,1,2,3,7,5,1,2,4
P127,4,0,2,2,2,1,3,2,1,3,1,0,7,2,6,1,4,0,3,7,7,3,2,0,2,1,1,3,2,3,4
P128,36,43,28,39,41,37,41,45,43,40,46,40,40,33,35,31,35,32,38,40,29,48,31,48,34,18,25,34,40,26,38
P129,21,36,44,47,26,33,30,27,37,34,41,45,41,36,37,43,44,44,35,33,52,40,48,30,36,23,28,22,39,35,17
P130,19,53,43,41,39,46,45,31,50,46,39,35,38,29,37,28,32,46,49,28,43,42,46,29,35,20,46,27,29,32,16
P131,29,32,32,35,49,38,34,43,39,31,45,38,40,40,42,45,34,37,38,43,41,32,36,35,36,28,32,27,30,26,35
P132,39,36,45,41,43,37,38,39,32,45,48,32,36,40,37,28,30,32,41,45,41,39,36,58,29,21,22,31,29,38,37
P133,30,48,29,38,40,42,47,42,33,38,47,32,40,30,42,42,42,40,34,47,38,32,28,39,32,27,27,29,30,25,32
P134,32,41,50,35,36,35,41,33,32,34,38,29,42,52,57,31,34,24,30,38,42,39,50,30,26,36,37,25,31,22,19
P135,38,32,36,37,42,33,56,37,39,31,43,45,39,55,43,45,47,41,43,29,50,43,48,39,39,27,31,35,28,32,24
P136,39,37,39,52,38,28,51,39,42,37,35,47,32,32,45,36,34,55,40,28,49,43,39,34,28,25,40,35,36,31,26
P137,37,41,43,41,40,47,54,30,43,40,33,45,35,43,41,44,34,35,34,36,36,31,46,31,43,28,39,26,30,22,31
P138,36,44,22,35,34,34,38,34,26,36,33,28,43,38,19,40,41,32,41,36,51,29,29,32,24,23,19,32,26,28,31
P139,32,36,32,38,47,31,48,27,41,36,31,34,47,39,38,38,47,36,41,44,40,35,40,32,31,37,24,32,25,23,28
P140,28,36,41,46,34,38,38,28,34,27,28,39,45,19,32,44,33,24,38,39,38,31,41,37,34,26,27,26,36,34,39
P141,27,45,40,34,31,35,37,40,40,37,34,25,29,30,42,35,37,42,38,33,38,39,33,41,24,20,25,32,25,32,27
P142,23,29,40,43,34,30,42,43,35,35,43,37,25,42,42,39,43,42,16,33,19,33,37,36,21,31,25,30,25,22,22
P143,31,35,29,42,31,35,28,41,49,41,36,27,39,43,33,47,43,34,43,40,36,35,36,41,35,30,27,30,28,25,47
P144,9,13,17,12,8,21,12,9,6,5,6,18,13,6,11,12,11,6,6,13,8,8,9,14,13,14,6,7,11,10,11
P145,10,12,9,9,12,6,9,12,13,7,12,11,14,9,15,13,6,7,13,12,13,15,14,7,13,5,4,6,5,6,4
P146,7,13,9,13,10,12,11,6,11,11,10,15,7,5,9,8,9,4,6,5,12,6,8,7,7,8,7,9,7,8,10
P147,10,4,9,9,15,7,10,14,10,9,12,11,8,16,8,13,10,6,7,9,9,10,7,7,9,6,10,7,15,11,9
P148,3,2,8,3,5,7,1,5,3,5,3,2,8,4,5,5,5,4,1,3,5,4,2,0,0,4,5,8,1,2,1
P149,11,9,9,6,13,8,11,14,14,11,9,10,13,4,10,13,10,11,11,13,7,10,9,7,14,5,13,5,12,8,13
P150,4,3,3,4,6,2,3,5,4,3,4,6,3,4,6,6,3,5,3,4,0,6,7,5,2,8,5,4,2,2,8
P151,3,7,8,8,6,8,2,12,1,3,8,3,6,8,6,4,1,7,8,4,5,5,6,8,3,3,5,3,3,0,2
P152,11,10,8,8,13,4,10,10,6,12,16,7,13,8,10,5,12,8,9,15,7,6,9,9,8,11,6,3,14,6,7
P153,22,9,11,10,10,5,9,13,17,14,10,12,11,13,11,10,7,7,14,4,5,6,7,9,8,11,7,8,8,8,4
P154,12,14,11,6,8,7,16,4,11,5,8,5,10,4,11,2,9,13,13,15,9,9,11,9,10,9,7,13,12,6,5
P155,5,7,4,3,4,3,2,4,3,5,2,3,3,4,4,5,10,5,5,4,2,1,4,5,6,3,3,4,4,5,8
P156,1,4,6,6,3,8,2,3,4,6,3,6,4,3,2,6,1,5,5,0,4,0,5,4,4,4,2,6,5,3,2
P157,12,8,14,7,8,10,11,14,15,8,9,14,11,8,9,10,10,8,7,6,8,3,7,5,4,15,5,8,5,11,3
P158,8,3,3,2,3,3,4,5,2,7,7,3,9,3,4,6,3,2,4,2,6,2,5,2,2,3,5,1,3,1,0
P159,2,2,9,5,2,7,4,4,5,7,2,8,3,5,4,7,3,4,4,5,7,1,4,2,4,2,4,1,4,5,4
P160,9,8,10,13,14,10,15,9,6,6,7,16,14,5,9,9,8,12,9,12,6,4,15,4,4,8,4,8,7,8,7
P161,5,6,5,7,1,3,6,6,2,9,4,6,5,2,2,5,7,3,6,3,5,6,2,7,4,2,3,5,4,6,3
P162,13,9,12,9,11,11,9,11,9,9,18,5,8,10,11,12,10,12,8,10,7,13,10,9,6,10,5,7,9,12,8
P163,6,5,6,6,7,5,5,5,1,3,1,3,3,0,6,1,0,7,3,3,3,2,5,4,3,6,6,5,7,3,4
P164,9,5,8,9,14,10,8,11,8,7,8,13,7,2,9,12,14,7,7,12,10,9,15,13,8,15,6,3,6,8,14
P165,9,13,9,16,12,9,13,14,6,16,10,8,11,11,6,15,10,14,10,11,9,13,7,8,5,14,8,10,8,11,6
P166,7,10,9,11,5,8,15,14,9,7,16,13,10,14,13,7,18,7,13,11,8,6,12,5,11,8,5,10,5,11,13
P167,33,45,42,41,32,45,43,45,45,36,48,46,33,42,34,37,41,30,37,34,38,28,31,39,25,25,29,16,29,31,28
P168,34,29,34,59,27,39,34,49,35,45,39,28,43,40,37,33,42,31,43,30,35,44,40,36,40,23,31,26,21,42,40
P169,38,31,22,43,29,25,46,32,38,39,32,32,31,37,29,36,37,33,52,18,31,31,32,37,39,23,22,28,42,22,18
P170,29,37,32,43,30,27,28,22,37,42,32,36,31,34,28,48,35,39,34,34,37,36,37,31,40,14,22,26,34,30,36
P171,6,7,13,6,4,12,11,9,13,13,14,11,9,9,7,11,9,5,6,11,10,9,9,8,8,10,8,14,10,7,8
P172,32,48,44,40,31,40,30,45,40,29,45,32,37,36,43,36,34,42,50,36,44,31,50,35,26,27,23,32,37,19,40
P173,34,25,42,47,37,40,30,44,37,38,41,38,42,40,44,41,54,42,32,48,36,41,38,49,39,34,30,22,23,30,35
P174,37,42,30,43,48,44,47,27,43,41,34,53,33,35,40,52,47,43,40,51,39,37,35,34,36,19,29,28,25,35,23
P175,30,40,48,28,30,34,40,53,43,37,29,38,38,36,36,46,37,49,35,35,48,34,51,31,30,26,26,34,38,36,35
P176,38,44,41,26,28,36,29,38,45,32,45,53,44,31,35,37,35,49,30,40,47,32,49,33,46,26,26,27,28,30,39
P177,25,38,37,48,34,40,30,29,39,40,36,35,30,44,43,46,29,35,39,56,48,39,20,36,20,33,34,28,36,20,21
P178,35,34,40,36,45,37,43,47,34,39,33,41,47,40,47,53,44,39,42,41,44,51,47,44,38,32,29,41,27,21,36
P179,44,43,35,36,39,42,31,44,37,38,33,35,37,34,51,50,43,38,43,36,43,36,42,34,29,25,29,36,28,19,39
P180,40,38,34,43,43,34,41,31,55,34,51,37,40,44,38,53,55,32,35,35,36,31,32,45,36,12,38,25,30,33,24
P181,32,44,31,38,37,36,30,42,49,46,26,31,39,47,43,50,35,37,32,31,29,45,33,35,29,16,34,28,30,30,17
P182,42,28,34,28,26,35,29,36,44,37,47,29,43,37,36,31,39,26,28,40,34,25,40,33,29,23,17,26,23,15,24
P183,25,37,42,50,18,32,38,37,33,30,37,20,41,40,39,38,34,32,41,30,40,36,31,33,28,22,22,30,23,31,28
P184,30,37,38,30,32,32,52,33,47,44,38,45,38,47,44,52,40,42,35,39,36,34,33,42,45,24,24,30,27,31,29
P185,32,28,36,40,40,50,43,40,38,35,43,41,29,34,37,33,25,44,39,46,31,44,30,37,30,29,22,38,37,30,30
P186,36,34,37,36,41,33,51,43,21,44,35,50,39,37,26,41,48,35,47,51,35,43,38,33,33,25,35,28,31,27,44
P187,31,38,47,36,36,27,28,19,40,38,28,31,34,38,36,30,33,45,31,22,33,28,25,32,33,23,14,26,26,27,29
P188,33,34,36,52,42,49,39,30,43,20,25,49,35,34,39,35,52,39,27,44,29,35,27,36,23,23,29,22,35,16,27
P189,32,34,46,30,39,51,28,25,30,32,38,23,41,29,39,38,35,31,44,28,30,38,34,42,29,20,26,30,31,37,41
P190,54,41,51,45,51,46,31,37,38,35,43,36,41,54,47,30,47,36,45,28,33,34,35,36,43,32,29,29,26,39,34
P191,48,36,42,35,44,39,37,45,42,40,40,42,57,46,38,35,31,36,49,40,49,41,47,34,30,30,18,24,28,27,30
P192,24,33,30,35,36,43,43,31,31,39,26,33,39,39,29,43,40,40,32,46,28,32,48,35,30,28,27,26,34,24,27
P193,36,22,32,45,35,44,39,41,33,43,49,41,45,45,43,35,46,60,43,41,50,46,35,46,33,21,30,32,22,32,38
P194,35,37,31,23,37,42,38,34,33,37,34,43,37,32,43,42,41,43,29,33,39,25,32,31,23,19,21,29,21,25,20
P195,4,4,7,5,5,3,3,7,3,5,8,5,5,3,0,10,7,4,12,4,5,3,0,3,7,7,5,4,8,1,4
P196,43,34,39,32,45,35,43,44,36,39,37,27,38,34,32,30,47,33,30,26,31,35,22,26,44,18,41,30,22,28,31
P197,6,8,8,16,8,11,9,18,10,12,12,6,9,15,15,4,9,13,3,7,12,11,13,11,12,12,4,2,6,6,11
P198,7,19,4,9,8,12,11,10,8,16,10,9,14,12,15,15,7,6,10,18,8,9,14,15,17,20,9,8,13,8,3
P199,4,1,1,6,3,7,1,4,4,5,3,5,7,4,3,1,2,2,5,5,3,2,2,7,5,8,1,3,0,3,8
P200,18,14,21,17,26,14,15,20,17,12,14,22,18,16,16,16,16,17,22,24,26,21,23,19,35,24,10,11,8,5,14